object_name,label_family,query_string,query_goal,recommended_source_type,priority_rank,priority_bin
UGC01230,H I asymmetry,"""UGC01230"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,15,minimum_25_pool
UGC01230,SFE/depletion,"""UGC01230"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,15,minimum_25_pool
UGC01230,Vrot/sigma,"""UGC01230"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,15,minimum_25_pool
UGC01230,burstiness,"""UGC01230"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",15,minimum_25_pool
UGC01230,centroid offset,"""UGC01230"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,15,minimum_25_pool
UGC01230,external morphology,"""UGC01230"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,15,minimum_25_pool
UGC01230,lopsidedness,"""UGC01230"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,15,minimum_25_pool
UGC01230,warp / PA twist,"""UGC01230"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,15,minimum_25_pool
UGC01281,A/R mismatch,"""UGC01281"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,16,minimum_25_pool
UGC01281,H I asymmetry,"""UGC01281"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,16,minimum_25_pool
UGC01281,SFE/depletion,"""UGC01281"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,16,minimum_25_pool
UGC01281,Vrot/sigma,"""UGC01281"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,16,minimum_25_pool
UGC01281,burstiness,"""UGC01281"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",16,minimum_25_pool
UGC01281,centroid offset,"""UGC01281"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,16,minimum_25_pool
UGC01281,external morphology,"""UGC01281"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,16,minimum_25_pool
UGC01281,lopsidedness,"""UGC01281"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,16,minimum_25_pool
UGC01281,warp / PA twist,"""UGC01281"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,16,minimum_25_pool
UGC04278,A/R mismatch,"""UGC04278"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,17,minimum_25_pool
UGC04278,H I asymmetry,"""UGC04278"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,17,minimum_25_pool
UGC04278,SFE/depletion,"""UGC04278"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,17,minimum_25_pool
UGC04278,Vrot/sigma,"""UGC04278"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,17,minimum_25_pool
UGC04278,burstiness,"""UGC04278"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",17,minimum_25_pool
UGC04278,centroid offset,"""UGC04278"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,17,minimum_25_pool
UGC04278,external morphology,"""UGC04278"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,17,minimum_25_pool
UGC04278,lopsidedness,"""UGC04278"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,17,minimum_25_pool
UGC04278,warp / PA twist,"""UGC04278"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,17,minimum_25_pool
UGC04499,A/R mismatch,"""UGC04499"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,18,minimum_25_pool
UGC04499,H I asymmetry,"""UGC04499"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,18,minimum_25_pool
UGC04499,SFE/depletion,"""UGC04499"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,18,minimum_25_pool
UGC04499,Vrot/sigma,"""UGC04499"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,18,minimum_25_pool
UGC04499,burstiness,"""UGC04499"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",18,minimum_25_pool
UGC04499,centroid offset,"""UGC04499"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,18,minimum_25_pool
UGC04499,external morphology,"""UGC04499"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,18,minimum_25_pool
UGC04499,lopsidedness,"""UGC04499"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,18,minimum_25_pool
UGC04499,warp / PA twist,"""UGC04499"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,18,minimum_25_pool
UGC05005,A/R mismatch,"""UGC05005"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,19,minimum_25_pool
UGC05005,H I asymmetry,"""UGC05005"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,19,minimum_25_pool
UGC05005,SFE/depletion,"""UGC05005"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,19,minimum_25_pool
UGC05005,Vrot/sigma,"""UGC05005"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,19,minimum_25_pool
UGC05005,burstiness,"""UGC05005"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",19,minimum_25_pool
UGC05005,centroid offset,"""UGC05005"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,19,minimum_25_pool
UGC05005,external morphology,"""UGC05005"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,19,minimum_25_pool
UGC05005,lopsidedness,"""UGC05005"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,19,minimum_25_pool
UGC05005,warp / PA twist,"""UGC05005"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,19,minimum_25_pool
UGC05721,A/R mismatch,"""UGC05721"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,20,minimum_25_pool
UGC05721,H I asymmetry,"""UGC05721"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,20,minimum_25_pool
UGC05721,SFE/depletion,"""UGC05721"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,20,minimum_25_pool
UGC05721,Vrot/sigma,"""UGC05721"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,20,minimum_25_pool
UGC05721,burstiness,"""UGC05721"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",20,minimum_25_pool
UGC05721,centroid offset,"""UGC05721"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,20,minimum_25_pool
UGC05721,external morphology,"""UGC05721"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,20,minimum_25_pool
UGC05721,lopsidedness,"""UGC05721"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,20,minimum_25_pool
UGC05721,warp / PA twist,"""UGC05721"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,20,minimum_25_pool
UGC06446,A/R mismatch,"""UGC06446"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,21,minimum_25_pool
UGC06446,H I asymmetry,"""UGC06446"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,21,minimum_25_pool
UGC06446,SFE/depletion,"""UGC06446"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,21,minimum_25_pool
UGC06446,Vrot/sigma,"""UGC06446"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,21,minimum_25_pool
UGC06446,burstiness,"""UGC06446"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",21,minimum_25_pool
UGC06446,centroid offset,"""UGC06446"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,21,minimum_25_pool
UGC06446,external morphology,"""UGC06446"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,21,minimum_25_pool
UGC06446,lopsidedness,"""UGC06446"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,21,minimum_25_pool
UGC06446,warp / PA twist,"""UGC06446"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,21,minimum_25_pool
UGC06667,A/R mismatch,"""UGC06667"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,22,minimum_25_pool
UGC06667,H I asymmetry,"""UGC06667"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,22,minimum_25_pool
UGC06667,SFE/depletion,"""UGC06667"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,22,minimum_25_pool
UGC06667,Vrot/sigma,"""UGC06667"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,22,minimum_25_pool
UGC06667,burstiness,"""UGC06667"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",22,minimum_25_pool
UGC06667,centroid offset,"""UGC06667"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,22,minimum_25_pool
UGC06667,external morphology,"""UGC06667"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,22,minimum_25_pool
UGC06667,lopsidedness,"""UGC06667"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,22,minimum_25_pool
UGC06667,warp / PA twist,"""UGC06667"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,22,minimum_25_pool
UGC07399,A/R mismatch,"""UGC07399"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,23,minimum_25_pool
UGC07399,H I asymmetry,"""UGC07399"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,23,minimum_25_pool
UGC07399,SFE/depletion,"""UGC07399"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,23,minimum_25_pool
UGC07399,Vrot/sigma,"""UGC07399"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,23,minimum_25_pool
UGC07399,burstiness,"""UGC07399"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",23,minimum_25_pool
UGC07399,centroid offset,"""UGC07399"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,23,minimum_25_pool
UGC07399,external morphology,"""UGC07399"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,23,minimum_25_pool
UGC07399,lopsidedness,"""UGC07399"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,23,minimum_25_pool
UGC07399,warp / PA twist,"""UGC07399"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,23,minimum_25_pool
UGC07524,A/R mismatch,"""UGC07524"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,24,minimum_25_pool
UGC07524,H I asymmetry,"""UGC07524"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,24,minimum_25_pool
UGC07524,SFE/depletion,"""UGC07524"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,24,minimum_25_pool
UGC07524,Vrot/sigma,"""UGC07524"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,24,minimum_25_pool
UGC07524,burstiness,"""UGC07524"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",24,minimum_25_pool
UGC07524,centroid offset,"""UGC07524"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,24,minimum_25_pool
UGC07524,external morphology,"""UGC07524"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,24,minimum_25_pool
UGC07524,lopsidedness,"""UGC07524"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,24,minimum_25_pool
UGC07524,warp / PA twist,"""UGC07524"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,24,minimum_25_pool
UGC07603,A/R mismatch,"""UGC07603"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,25,minimum_25_pool
UGC07603,H I asymmetry,"""UGC07603"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,25,minimum_25_pool
UGC07603,SFE/depletion,"""UGC07603"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,25,minimum_25_pool
UGC07603,Vrot/sigma,"""UGC07603"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,25,minimum_25_pool
UGC07603,burstiness,"""UGC07603"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",25,minimum_25_pool
UGC07603,centroid offset,"""UGC07603"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,25,minimum_25_pool
UGC07603,external morphology,"""UGC07603"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,25,minimum_25_pool
UGC07603,lopsidedness,"""UGC07603"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,25,minimum_25_pool
UGC07603,warp / PA twist,"""UGC07603"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,25,minimum_25_pool
UGC08490,A/R mismatch,"""UGC08490"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,26,preferred_50_pool
UGC08490,H I asymmetry,"""UGC08490"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,26,preferred_50_pool
UGC08490,SFE/depletion,"""UGC08490"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,26,preferred_50_pool
UGC08490,Vrot/sigma,"""UGC08490"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,26,preferred_50_pool
UGC08490,burstiness,"""UGC08490"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",26,preferred_50_pool
UGC08490,centroid offset,"""UGC08490"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,26,preferred_50_pool
UGC08490,external morphology,"""UGC08490"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,26,preferred_50_pool
UGC08490,lopsidedness,"""UGC08490"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,26,preferred_50_pool
UGC08490,warp / PA twist,"""UGC08490"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,26,preferred_50_pool
UGC08550,A/R mismatch,"""UGC08550"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,27,preferred_50_pool
UGC08550,H I asymmetry,"""UGC08550"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,27,preferred_50_pool
UGC08550,SFE/depletion,"""UGC08550"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,27,preferred_50_pool
UGC08550,Vrot/sigma,"""UGC08550"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,27,preferred_50_pool
UGC08550,burstiness,"""UGC08550"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",27,preferred_50_pool
UGC08550,centroid offset,"""UGC08550"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,27,preferred_50_pool
UGC08550,external morphology,"""UGC08550"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,27,preferred_50_pool
UGC08550,lopsidedness,"""UGC08550"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,27,preferred_50_pool
UGC08550,warp / PA twist,"""UGC08550"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,27,preferred_50_pool
UGC10310,A/R mismatch,"""UGC10310"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,28,preferred_50_pool
UGC10310,H I asymmetry,"""UGC10310"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,28,preferred_50_pool
UGC10310,SFE/depletion,"""UGC10310"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,28,preferred_50_pool
UGC10310,Vrot/sigma,"""UGC10310"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,28,preferred_50_pool
UGC10310,burstiness,"""UGC10310"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",28,preferred_50_pool
UGC10310,centroid offset,"""UGC10310"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,28,preferred_50_pool
UGC10310,external morphology,"""UGC10310"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,28,preferred_50_pool
UGC10310,lopsidedness,"""UGC10310"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,28,preferred_50_pool
UGC10310,warp / PA twist,"""UGC10310"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,28,preferred_50_pool
UGC12632,A/R mismatch,"""UGC12632"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,29,preferred_50_pool
UGC12632,H I asymmetry,"""UGC12632"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,29,preferred_50_pool
